,date,bike_place,bike
318,2018-11-15,48,670
319,2018-11-16,48,670
320,2018-11-17,48,670
321,2018-11-18,48,670
322,2018-11-19,48,670
323,2018-11-20,48,670
324,2018-11-21,48,670
325,2018-11-22,48,670
326,2018-11-23,48,670
327,2018-11-24,48,670
328,2018-11-25,48,670
329,2018-11-26,48,670
330,2018-11-27,48,670
331,2018-11-28,48,670
332,2018-11-29,48,670
333,2018-11-30,48,670
334,2018-12-01,48,670
335,2018-12-02,48,670
336,2018-12-03,48,670
337,2018-12-04,48,670
338,2018-12-05,48,670
339,2018-12-06,48,670
340,2018-12-07,48,670
341,2018-12-08,48,670
342,2018-12-09,48,670
343,2018-12-10,48,670
344,2018-12-11,48,670
345,2018-12-12,48,670
346,2018-12-13,48,670
347,2018-12-14,49,680
348,2018-12-15,49,680
349,2018-12-16,49,680
350,2018-12-17,49,680
351,2018-12-18,49,680
352,2018-12-19,49,680
353,2018-12-20,49,680
354,2018-12-21,49,680
355,2018-12-22,49,680
356,2018-12-23,49,680
357,2018-12-24,49,680
358,2018-12-25,49,680
359,2018-12-26,49,680
360,2018-12-27,49,680
361,2018-12-28,49,680
362,2018-12-29,49,680
363,2018-12-30,49,680
364,2018-12-31,49,680
365,2019-01-01,49,680
366,2019-01-02,49,680
367,2019-01-03,49,680
368,2019-01-04,49,680
369,2019-01-05,49,680
370,2019-01-06,49,680
371,2019-01-07,49,680
372,2019-01-08,49,680
373,2019-01-09,49,680
374,2019-01-10,49,680
375,2019-01-11,49,680
376,2019-01-12,49,680
377,2019-01-13,49,680
378,2019-01-14,49,680
379,2019-01-15,49,680
380,2019-01-16,49,680
381,2019-01-17,49,680
382,2019-01-18,49,680
383,2019-01-19,49,680
384,2019-01-20,49,680
385,2019-01-21,49,680
386,2019-01-22,49,680
387,2019-01-23,49,680
388,2019-01-24,49,680
389,2019-01-25,49,680
390,2019-01-26,49,680
391,2019-01-27,49,680
392,2019-01-28,49,680
393,2019-01-29,49,680
394,2019-01-30,49,680
395,2019-01-31,49,680
