,date,bike_place,bike
290,2018-10-18,48,548
291,2018-10-19,48,548
292,2018-10-20,48,548
293,2018-10-21,48,548
294,2018-10-22,48,548
295,2018-10-23,48,548
296,2018-10-24,48,548
297,2018-10-25,48,548
298,2018-10-26,48,548
299,2018-10-27,48,548
300,2018-10-28,48,548
301,2018-10-29,49,558
302,2018-10-30,49,558
303,2018-10-31,49,558
304,2018-11-01,49,558
305,2018-11-02,49,558
306,2018-11-03,49,558
307,2018-11-04,49,558
308,2018-11-05,49,558
309,2018-11-06,49,558
310,2018-11-07,49,558
311,2018-11-08,49,558
312,2018-11-09,49,558
313,2018-11-10,49,558
314,2018-11-11,49,558
315,2018-11-12,49,558
316,2018-11-13,49,558
317,2018-11-14,49,558
318,2018-11-15,49,558
319,2018-11-16,49,558
320,2018-11-17,49,558
321,2018-11-18,49,558
322,2018-11-19,49,558
323,2018-11-20,49,558
324,2018-11-21,49,558
325,2018-11-22,49,558
326,2018-11-23,49,558
327,2018-11-24,49,558
328,2018-11-25,49,558
329,2018-11-26,49,558
330,2018-11-27,49,558
331,2018-11-28,49,558
332,2018-11-29,49,558
333,2018-11-30,49,558
334,2018-12-01,49,558
335,2018-12-02,49,558
336,2018-12-03,49,558
337,2018-12-04,49,558
338,2018-12-05,49,558
339,2018-12-06,49,558
340,2018-12-07,49,558
341,2018-12-08,49,558
342,2018-12-09,49,558
343,2018-12-10,49,558
344,2018-12-11,49,558
345,2018-12-12,49,558
346,2018-12-13,49,558
347,2018-12-14,49,558
348,2018-12-15,49,558
349,2018-12-16,49,558
350,2018-12-17,49,558
351,2018-12-18,49,558
352,2018-12-19,49,558
353,2018-12-20,49,558
354,2018-12-21,49,558
355,2018-12-22,49,558
356,2018-12-23,49,558
357,2018-12-24,49,558
358,2018-12-25,49,558
359,2018-12-26,49,558
360,2018-12-27,49,558
361,2018-12-28,49,558
362,2018-12-29,49,558
363,2018-12-30,49,558
364,2018-12-31,49,558
365,2019-01-01,49,558
366,2019-01-02,49,558
367,2019-01-03,49,558
368,2019-01-04,49,558
369,2019-01-05,49,558
370,2019-01-06,49,558
371,2019-01-07,49,558
372,2019-01-08,49,558
373,2019-01-09,49,558
374,2019-01-10,49,558
375,2019-01-11,49,558
376,2019-01-12,49,558
377,2019-01-13,49,558
378,2019-01-14,49,558
379,2019-01-15,49,558
380,2019-01-16,49,558
381,2019-01-17,49,558
382,2019-01-18,49,558
383,2019-01-19,49,558
384,2019-01-20,49,558
385,2019-01-21,49,558
386,2019-01-22,49,558
387,2019-01-23,49,558
388,2019-01-24,49,558
389,2019-01-25,49,558
390,2019-01-26,49,558
391,2019-01-27,49,558
392,2019-01-28,49,558
393,2019-01-29,49,558
394,2019-01-30,49,558
395,2019-01-31,49,558
396,2019-02-01,49,558
397,2019-02-02,49,558
398,2019-02-03,49,558
399,2019-02-04,49,558
400,2019-02-05,49,558
401,2019-02-06,49,558
402,2019-02-07,49,558
403,2019-02-08,49,558
404,2019-02-09,49,558
405,2019-02-10,49,558
406,2019-02-11,49,558
407,2019-02-12,49,558
408,2019-02-13,49,558
409,2019-02-14,49,558
410,2019-02-15,49,558
411,2019-02-16,49,558
412,2019-02-17,49,558
413,2019-02-18,49,558
414,2019-02-19,49,558
415,2019-02-20,49,558
416,2019-02-21,49,558
417,2019-02-22,49,558
418,2019-02-23,49,558
419,2019-02-24,49,558
420,2019-02-25,49,558
421,2019-02-26,49,558
422,2019-02-27,49,558
423,2019-02-28,49,558
424,2019-03-01,49,558
425,2019-03-02,49,558
426,2019-03-03,49,558
427,2019-03-04,49,558
428,2019-03-05,49,558
429,2019-03-06,49,558
430,2019-03-07,49,558
431,2019-03-08,49,558
432,2019-03-09,49,558
433,2019-03-10,49,558
434,2019-03-11,49,558
435,2019-03-12,49,558
436,2019-03-13,49,558
437,2019-03-14,49,558
438,2019-03-15,49,558
439,2019-03-16,49,558
440,2019-03-17,49,558
441,2019-03-18,49,558
442,2019-03-19,49,558
443,2019-03-20,49,558
444,2019-03-21,49,558
445,2019-03-22,49,558
446,2019-03-23,49,558
447,2019-03-24,49,558
448,2019-03-25,49,558
449,2019-03-26,49,558
450,2019-03-27,49,558
451,2019-03-28,49,558
452,2019-03-29,49,558
453,2019-03-30,49,558
454,2019-03-31,49,558
455,2019-04-01,49,558
456,2019-04-02,49,558
457,2019-04-03,49,558
458,2019-04-04,49,558
459,2019-04-05,49,558
460,2019-04-06,49,558
461,2019-04-07,49,558
462,2019-04-08,49,558
463,2019-04-09,49,558
464,2019-04-10,49,558
465,2019-04-11,49,558
466,2019-04-12,49,558
467,2019-04-13,49,558
468,2019-04-14,49,558
469,2019-04-15,49,558
470,2019-04-16,49,558
471,2019-04-17,49,558
472,2019-04-18,49,558
473,2019-04-19,49,558
474,2019-04-20,49,558
475,2019-04-21,49,558
476,2019-04-22,49,558
477,2019-04-23,49,558
478,2019-04-24,49,558
479,2019-04-25,49,558
480,2019-04-26,49,558
481,2019-04-27,49,558
482,2019-04-28,49,558
483,2019-04-29,49,558
484,2019-04-30,49,558
485,2019-05-01,49,558
486,2019-05-02,49,558
487,2019-05-03,49,558
488,2019-05-04,49,558
489,2019-05-05,49,558
490,2019-05-06,49,558
491,2019-05-07,49,558
492,2019-05-08,49,558
493,2019-05-09,49,558
494,2019-05-10,49,558
495,2019-05-11,49,558
496,2019-05-12,49,558
497,2019-05-13,49,558
498,2019-05-14,49,558
499,2019-05-15,49,558
500,2019-05-16,49,558
501,2019-05-17,49,558
502,2019-05-18,49,558
503,2019-05-19,49,558
504,2019-05-20,49,558
505,2019-05-21,49,558
506,2019-05-22,49,558
507,2019-05-23,49,558
508,2019-05-24,49,558
509,2019-05-25,49,558
510,2019-05-26,49,558
511,2019-05-27,49,558
512,2019-05-28,49,558
513,2019-05-29,49,558
514,2019-05-30,49,558
515,2019-05-31,49,558
516,2019-06-01,49,558
517,2019-06-02,49,558
518,2019-06-03,49,558
519,2019-06-04,49,558
520,2019-06-05,49,558
521,2019-06-06,49,558
522,2019-06-07,49,558
523,2019-06-08,49,558
524,2019-06-09,49,558
525,2019-06-10,49,558
526,2019-06-11,49,558
527,2019-06-12,49,558
528,2019-06-13,49,558
529,2019-06-14,49,558
530,2019-06-15,49,558
531,2019-06-16,49,558
532,2019-06-17,49,558
533,2019-06-18,49,558
534,2019-06-19,49,558
535,2019-06-20,49,558
536,2019-06-21,49,558
537,2019-06-22,49,558
538,2019-06-23,49,558
539,2019-06-24,49,558
540,2019-06-25,49,558
541,2019-06-26,49,558
542,2019-06-27,49,558
543,2019-06-28,49,558
544,2019-06-29,49,558
545,2019-06-30,49,558
546,2019-07-01,49,558
547,2019-07-02,49,558
548,2019-07-03,49,558
549,2019-07-04,49,558
550,2019-07-05,49,558
551,2019-07-06,49,558
552,2019-07-07,49,558
553,2019-07-08,49,558
554,2019-07-09,49,558
555,2019-07-10,49,558
556,2019-07-11,49,558
557,2019-07-12,49,558
558,2019-07-13,49,558
559,2019-07-14,49,558
560,2019-07-15,49,558
561,2019-07-16,49,558
562,2019-07-17,49,558
563,2019-07-18,49,558
564,2019-07-19,49,558
565,2019-07-20,49,558
566,2019-07-21,49,558
567,2019-07-22,49,558
568,2019-07-23,49,558
569,2019-07-24,49,558
570,2019-07-25,49,558
571,2019-07-26,49,558
572,2019-07-27,49,558
573,2019-07-28,49,558
574,2019-07-29,49,558
575,2019-07-30,49,558
576,2019-07-31,49,558
577,2019-08-01,49,558
578,2019-08-02,49,558
579,2019-08-03,49,558
580,2019-08-04,49,558
581,2019-08-05,49,558
582,2019-08-06,49,558
583,2019-08-07,49,558
584,2019-08-08,49,558
585,2019-08-09,49,558
586,2019-08-10,49,558
587,2019-08-11,49,558
588,2019-08-12,49,558
589,2019-08-13,49,558
590,2019-08-14,49,558
591,2019-08-15,49,558
592,2019-08-16,49,558
593,2019-08-17,49,558
594,2019-08-18,49,558
595,2019-08-19,49,558
596,2019-08-20,49,558
597,2019-08-21,49,558
598,2019-08-22,49,558
599,2019-08-23,49,558
600,2019-08-24,49,558
601,2019-08-25,49,558
602,2019-08-26,49,558
603,2019-08-27,49,558
604,2019-08-28,49,558
605,2019-08-29,49,558
606,2019-08-30,49,558
607,2019-08-31,49,558
608,2019-09-01,49,558
609,2019-09-02,49,558
610,2019-09-03,49,558
611,2019-09-04,49,558
612,2019-09-05,49,558
613,2019-09-06,49,558
614,2019-09-07,49,558
615,2019-09-08,49,558
616,2019-09-09,49,558
617,2019-09-10,49,558
618,2019-09-11,49,558
619,2019-09-12,49,558
620,2019-09-13,49,558
621,2019-09-14,49,558
622,2019-09-15,49,558
623,2019-09-16,49,558
624,2019-09-17,49,558
625,2019-09-18,49,558
626,2019-09-19,49,558
627,2019-09-20,49,558
628,2019-09-21,49,558
629,2019-09-22,49,558
630,2019-09-23,49,558
631,2019-09-24,49,558
632,2019-09-25,49,558
633,2019-09-26,49,558
634,2019-09-27,49,558
635,2019-09-28,49,558
636,2019-09-29,49,558
637,2019-09-30,49,558
638,2019-10-01,49,558
639,2019-10-02,49,558
640,2019-10-03,49,558
641,2019-10-04,49,558
642,2019-10-05,49,558
643,2019-10-06,49,558
644,2019-10-07,49,558
645,2019-10-08,49,558
646,2019-10-09,49,558
647,2019-10-10,49,558
648,2019-10-11,49,558
649,2019-10-12,49,558
650,2019-10-13,49,558
651,2019-10-14,49,558
652,2019-10-15,49,558
653,2019-10-16,49,558
654,2019-10-17,49,558
655,2019-10-18,49,558
656,2019-10-19,49,558
657,2019-10-20,49,558
658,2019-10-21,49,558
659,2019-10-22,49,558
660,2019-10-23,49,558
661,2019-10-24,49,558
