,date,bike_place,bike
442,2019-03-19,55,683
443,2019-03-20,55,683
444,2019-03-21,55,683
445,2019-03-22,55,683
446,2019-03-23,55,683
447,2019-03-24,55,683
448,2019-03-25,55,683
449,2019-03-26,55,683
450,2019-03-27,55,683
451,2019-03-28,55,683
452,2019-03-29,55,683
453,2019-03-30,55,683
454,2019-03-31,55,683
455,2019-04-01,55,683
456,2019-04-02,55,683
457,2019-04-03,55,683
458,2019-04-04,55,683
459,2019-04-05,55,683
460,2019-04-06,55,683
461,2019-04-07,55,683
462,2019-04-08,55,683
463,2019-04-09,55,683
464,2019-04-10,55,683
465,2019-04-11,55,683
466,2019-04-12,55,683
467,2019-04-13,55,683
468,2019-04-14,55,683
469,2019-04-15,55,683
470,2019-04-16,55,683
471,2019-04-17,55,683
472,2019-04-18,55,683
473,2019-04-19,55,683
474,2019-04-20,55,683
475,2019-04-21,55,683
476,2019-04-22,55,683
477,2019-04-23,55,683
478,2019-04-24,55,683
479,2019-04-25,55,683
480,2019-04-26,55,683
481,2019-04-27,55,683
482,2019-04-28,55,683
483,2019-04-29,55,683
484,2019-04-30,55,683
485,2019-05-01,55,683
486,2019-05-02,55,683
487,2019-05-03,55,683
488,2019-05-04,55,683
489,2019-05-05,55,683
490,2019-05-06,55,683
491,2019-05-07,55,683
492,2019-05-08,55,683
493,2019-05-09,55,683
494,2019-05-10,55,683
495,2019-05-11,55,683
496,2019-05-12,55,683
497,2019-05-13,55,683
498,2019-05-14,55,683
499,2019-05-15,55,683
500,2019-05-16,55,683
501,2019-05-17,55,683
502,2019-05-18,55,683
503,2019-05-19,55,683
504,2019-05-20,55,683
505,2019-05-21,55,683
506,2019-05-22,55,683
507,2019-05-23,55,683
508,2019-05-24,55,683
509,2019-05-25,55,683
510,2019-05-26,55,683
511,2019-05-27,55,683
512,2019-05-28,55,683
513,2019-05-29,55,683
514,2019-05-30,55,683
515,2019-05-31,55,683
516,2019-06-01,55,683
517,2019-06-02,55,683
518,2019-06-03,55,683
519,2019-06-04,55,683
520,2019-06-05,55,683
521,2019-06-06,55,683
522,2019-06-07,55,683
523,2019-06-08,55,683
524,2019-06-09,55,683
525,2019-06-10,55,683
526,2019-06-11,55,683
527,2019-06-12,55,683
528,2019-06-13,55,683
529,2019-06-14,55,683
530,2019-06-15,55,683
531,2019-06-16,55,683
532,2019-06-17,55,683
533,2019-06-18,55,683
534,2019-06-19,55,683
535,2019-06-20,55,683
536,2019-06-21,55,683
537,2019-06-22,55,683
538,2019-06-23,55,683
539,2019-06-24,55,683
540,2019-06-25,55,683
541,2019-06-26,55,683
542,2019-06-27,55,683
543,2019-06-28,55,683
544,2019-06-29,55,683
545,2019-06-30,55,683
546,2019-07-01,55,683
547,2019-07-02,55,683
548,2019-07-03,55,683
549,2019-07-04,55,683
550,2019-07-05,55,683
551,2019-07-06,55,683
552,2019-07-07,55,683
553,2019-07-08,55,683
554,2019-07-09,55,683
555,2019-07-10,55,683
556,2019-07-11,55,683
557,2019-07-12,55,683
558,2019-07-13,55,683
559,2019-07-14,55,683
560,2019-07-15,55,683
561,2019-07-16,55,683
562,2019-07-17,55,683
563,2019-07-18,55,683
564,2019-07-19,55,683
565,2019-07-20,55,683
566,2019-07-21,55,683
567,2019-07-22,55,683
568,2019-07-23,55,683
569,2019-07-24,55,683
570,2019-07-25,55,683
571,2019-07-26,55,683
572,2019-07-27,55,683
573,2019-07-28,55,683
574,2019-07-29,55,683
575,2019-07-30,55,683
576,2019-07-31,55,683
577,2019-08-01,55,683
578,2019-08-02,55,683
579,2019-08-03,55,683
580,2019-08-04,55,683
581,2019-08-05,55,683
582,2019-08-06,55,683
583,2019-08-07,55,683
584,2019-08-08,55,683
585,2019-08-09,55,683
586,2019-08-10,55,683
587,2019-08-11,55,683
588,2019-08-12,55,683
589,2019-08-13,55,683
590,2019-08-14,55,683
591,2019-08-15,55,683
592,2019-08-16,55,683
593,2019-08-17,55,683
594,2019-08-18,55,683
595,2019-08-19,55,683
596,2019-08-20,55,683
597,2019-08-21,55,683
598,2019-08-22,55,683
599,2019-08-23,55,683
600,2019-08-24,55,683
601,2019-08-25,55,683
602,2019-08-26,55,683
603,2019-08-27,55,683
604,2019-08-28,55,683
605,2019-08-29,55,683
606,2019-08-30,55,683
607,2019-08-31,55,683
608,2019-09-01,55,683
609,2019-09-02,55,683
610,2019-09-03,55,683
611,2019-09-04,55,683
612,2019-09-05,55,683
613,2019-09-06,55,683
614,2019-09-07,55,683
615,2019-09-08,55,683
616,2019-09-09,55,683
617,2019-09-10,55,683
618,2019-09-11,55,683
619,2019-09-12,55,683
620,2019-09-13,55,683
621,2019-09-14,55,683
622,2019-09-15,55,683
623,2019-09-16,55,683
624,2019-09-17,55,683
625,2019-09-18,55,683
626,2019-09-19,55,683
627,2019-09-20,55,683
628,2019-09-21,55,683
629,2019-09-22,55,683
630,2019-09-23,55,683
631,2019-09-24,55,683
632,2019-09-25,55,683
633,2019-09-26,55,683
634,2019-09-27,55,683
635,2019-09-28,55,683
636,2019-09-29,55,683
637,2019-09-30,55,683
